,state_x,state_y,move_dir,throw_dir,Action,move_x,move_y,throw_dir_2,u,v
0,-10,-10,1,none,MOVE,1,1,-1000,0.1,0.1
1,-10,-9,1,none,MOVE,1,1,-1000,0.1,0.1
2,-10,-8,1,none,MOVE,1,1,-1000,0.1,0.1
3,-10,-7,1,none,MOVE,1,1,-1000,0.1,0.1
4,-10,-6,1,none,MOVE,1,1,-1000,0.1,0.1
5,-10,-6,2,none,MOVE,1,0,-1000,0.1,0.0
6,-10,-5,1,none,MOVE,1,1,-1000,0.1,0.1
7,-10,-5,2,none,MOVE,1,0,-1000,0.1,0.0
8,-10,-5,3,none,MOVE,1,-1,-1000,0.1,-0.1
9,-10,-4,1,none,MOVE,1,1,-1000,0.1,0.1
10,-10,-4,2,none,MOVE,1,0,-1000,0.1,0.0
11,-10,-4,3,none,MOVE,1,-1,-1000,0.1,-0.1
12,-10,-3,1,none,MOVE,1,1,-1000,0.1,0.1
13,-10,-3,2,none,MOVE,1,0,-1000,0.1,0.0
14,-10,-3,3,none,MOVE,1,-1,-1000,0.1,-0.1
15,-10,-2,1,none,MOVE,1,1,-1000,0.1,0.1
16,-10,-2,2,none,MOVE,1,0,-1000,0.1,0.0
17,-10,-2,3,none,MOVE,1,-1,-1000,0.1,-0.1
18,-10,-1,1,none,MOVE,1,1,-1000,0.1,0.1
19,-10,-1,2,none,MOVE,1,0,-1000,0.1,0.0
20,-10,-1,3,none,MOVE,1,-1,-1000,0.1,-0.1
21,-10,0,1,none,MOVE,1,1,-1000,0.1,0.1
22,-10,0,2,none,MOVE,1,0,-1000,0.1,0.0
23,-10,0,3,none,MOVE,1,-1,-1000,0.1,-0.1
24,-10,1,1,none,MOVE,1,1,-1000,0.1,0.1
25,-10,1,2,none,MOVE,1,0,-1000,0.1,0.0
26,-10,1,3,none,MOVE,1,-1,-1000,0.1,-0.1
27,-10,2,1,none,MOVE,1,1,-1000,0.1,0.1
28,-10,2,2,none,MOVE,1,0,-1000,0.1,0.0
29,-10,2,3,none,MOVE,1,-1,-1000,0.1,-0.1
30,-10,3,1,none,MOVE,1,1,-1000,0.1,0.1
31,-10,3,2,none,MOVE,1,0,-1000,0.1,0.0
32,-10,3,3,none,MOVE,1,-1,-1000,0.1,-0.1
33,-10,4,1,none,MOVE,1,1,-1000,0.1,0.1
34,-10,4,2,none,MOVE,1,0,-1000,0.1,0.0
35,-10,4,3,none,MOVE,1,-1,-1000,0.1,-0.1
36,-10,5,1,none,MOVE,1,1,-1000,0.1,0.1
37,-10,5,2,none,MOVE,1,0,-1000,0.1,0.0
38,-10,5,3,none,MOVE,1,-1,-1000,0.1,-0.1
39,-10,6,2,none,MOVE,1,0,-1000,0.1,0.0
40,-10,6,3,none,MOVE,1,-1,-1000,0.1,-0.1
41,-10,7,3,none,MOVE,1,-1,-1000,0.1,-0.1
42,-10,8,3,none,MOVE,1,-1,-1000,0.1,-0.1
43,-10,9,3,none,MOVE,1,-1,-1000,0.1,-0.1
44,-10,10,3,none,MOVE,1,-1,-1000,0.1,-0.1
45,-9,-10,1,none,MOVE,1,1,-1000,0.1,0.1
46,-9,-9,1,none,MOVE,1,1,-1000,0.1,0.1
47,-9,-8,1,none,MOVE,1,1,-1000,0.1,0.1
48,-9,-7,1,none,MOVE,1,1,-1000,0.1,0.1
49,-9,-6,1,none,MOVE,1,1,-1000,0.1,0.1
50,-9,-5,1,none,MOVE,1,1,-1000,0.1,0.1
51,-9,-5,2,none,MOVE,1,0,-1000,0.1,0.0
52,-9,-4,1,none,MOVE,1,1,-1000,0.1,0.1
53,-9,-4,2,none,MOVE,1,0,-1000,0.1,0.0
54,-9,-4,3,none,MOVE,1,-1,-1000,0.1,-0.1
55,-9,-3,1,none,MOVE,1,1,-1000,0.1,0.1
56,-9,-3,2,none,MOVE,1,0,-1000,0.1,0.0
